[2025-03-20 12:39:07,903] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30077 | Distance:  148.71 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:39:08,026] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30107 | Distance:   93.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:39:09,627] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30086 | Distance:   15.89 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:39:10,124] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30115 | Distance:   54.94 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:39:10,144] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30000 | Distance:  134.01 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:39:10,170] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30076 | Distance:  124.20 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:39:10,220] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30082 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:39:10,230] [INFO] Phase: PRE-REPLY | Receiver: 30073 | Sender: 30116 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:39:10,289] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30066 | Distance:  149.93 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:39:10,339] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30113 | Distance:   77.17 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:39:10,426] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30044 | Distance:  113.77 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:39:10,453] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30087 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:39:10,477] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30104 | Distance:  118.38 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:39:10,516] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30027 | Distance:  131.59 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:39:10,541] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30077 | Distance:  148.71 m | Delay: 0.6991s | Size: 16779000 bit
