[2025-03-20 12:38:10,815] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30006 | Distance:   99.73 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:10,849] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30042 | Distance:  117.24 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:38:10,882] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30042 | Distance:  117.24 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:10,918] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30054 | Distance:   45.15 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:10,952] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30111 | Distance:   33.82 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:10,983] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30059 | Distance:   47.73 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:11,015] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30039 | Distance:   64.18 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:11,040] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30001 | Distance:   52.29 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:11,086] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30064 | Distance:  102.37 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:11,121] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30062 | Distance:  162.73 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:38:11,161] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30008 | Distance:  151.31 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:38:11,447] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30045 | Distance:  130.31 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:11,476] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30078 | Distance:   76.87 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:11,520] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30114 | Distance:  147.03 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:11,549] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30062 | Distance:  162.73 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:38:11,587] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30032 | Distance:  119.36 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:11,961] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30118 | Distance:  147.03 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:12,077] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30043 | Distance:  157.03 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:38:12,109] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30047 | Distance:  104.81 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:12,143] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30093 | Distance:   43.40 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:12,174] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30010 | Distance:  155.18 m | Delay: 0.9322s | Size: 16779000 bit
