[2025-03-20 12:06:08,759] [INFO] Random node started: localhost:30015 | index= 16 | f=1, k=4
[2025-03-20 12:17:08,792] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30000 | Distance:  151.52 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:08,822] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30032 | Distance:  157.87 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:08,841] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:08,995] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30032 | Distance:  157.87 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:17:16,248] [INFO] Phase: PRE-PREPARE | Receiver: 30015 | Sender: 30035 | Distance:  130.62 m | Delay: 0.6992s | Size: 16781080 bit
[2025-03-20 12:17:16,252] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30015 | Distance:  130.62 m | Delay: 0.6992s | Size: 16778160 bit
[2025-03-20 12:17:16,578] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30027 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:16,578] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30015 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:17:16,658] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30009 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:16,917] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30027 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:17,040] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:17,153] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30006 | Distance:  174.27 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:17,183] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:17:17,209] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30000 | Distance:  151.52 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:17,289] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:17:17,297] [INFO] Phase: PRE-REPLY | Receiver: 30014 | Sender: 30015 | Distance:   82.67 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:17:17,413] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30009 | Distance:  133.33 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:17,434] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30035 | Distance:  130.62 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:17,451] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30000 | Distance:  151.52 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:17,490] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30006 | Distance:  174.27 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:17:17,509] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:17,582] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30032 | Distance:  157.87 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:17:17,815] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30032 | Distance:  157.87 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:35,532] [INFO] Phase: PRE-PREPARE | Receiver: 30015 | Sender: 30035 | Distance:  130.62 m | Delay: 0.6992s | Size: 16781080 bit
[2025-03-20 12:17:35,540] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30015 | Distance:  130.62 m | Delay: 0.6992s | Size: 16778160 bit
[2025-03-20 12:17:35,856] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30027 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:35,856] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30015 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:17:35,961] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30009 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:36,234] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30027 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:36,333] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30006 | Distance:  174.27 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:17:36,424] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30000 | Distance:  151.52 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:36,468] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:36,551] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:36,630] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:36,640] [INFO] Phase: PRE-REPLY | Receiver: 30014 | Sender: 30015 | Distance:   82.67 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:17:36,720] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30035 | Distance:  130.62 m | Delay: 0.6991s | Size: 16778976 bit
[2025-03-20 12:17:36,744] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30006 | Distance:  174.27 m | Delay: 0.9322s | Size: 16779000 bit
