[2025-03-20 12:06:05,770] [INFO] Random node started: localhost:30000 | index=  1 | f=1, k=4
[2025-03-20 12:17:17,281] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30027 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:17,314] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30009 | Distance:  133.33 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:17,342] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:17,404] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30015 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:17,421] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30032 | Distance:  157.87 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:17:17,451] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:17:17,479] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:17,586] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30015 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:17,601] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30032 | Distance:  157.87 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:35,306] [INFO] Phase: PRE-PREPARE | Receiver: 30000 | Sender: 30035 | Distance:  130.62 m | Delay: 0.6992s | Size: 16781080 bit
[2025-03-20 12:17:35,310] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30000 | Distance:  130.62 m | Delay: 0.6992s | Size: 16778160 bit
[2025-03-20 12:17:35,663] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30006 | Distance:  174.27 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:17:35,667] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30000 | Distance:  174.27 m | Delay: 0.9322s | Size: 16778160 bit
[2025-03-20 12:17:35,707] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30009 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:36,076] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30006 | Distance:  174.27 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:36,104] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30027 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:36,390] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30009 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:36,404] [INFO] Phase: PRE-REPLY | Receiver: 30014 | Sender: 30000 | Distance:  133.33 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:17:36,527] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:36,571] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30027 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:36,597] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30035 | Distance:  130.62 m | Delay: 0.6991s | Size: 16778976 bit
[2025-03-20 12:17:36,668] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:36,680] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30015 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:36,700] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30032 | Distance:  157.87 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:36,752] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:36,773] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:36,844] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30015 | Distance:  133.33 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:36,888] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30032 | Distance:  157.87 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:17:44,160] [INFO] Phase: PRE-PREPARE | Receiver: 30000 | Sender: 30035 | Distance:  130.62 m | Delay: 0.6992s | Size: 16781072 bit
[2025-03-20 12:17:44,164] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30000 | Distance:  130.62 m | Delay: 0.6992s | Size: 16778144 bit
[2025-03-20 12:17:44,515] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30006 | Distance:  174.27 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:17:44,518] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30000 | Distance:  174.27 m | Delay: 0.9322s | Size: 16778160 bit
[2025-03-20 12:17:44,559] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30009 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:44,902] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30006 | Distance:  174.27 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:44,935] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30027 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:17:45,213] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:45,352] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30009 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:45,364] [INFO] Phase: PRE-REPLY | Receiver: 30014 | Sender: 30000 | Distance:  133.33 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:17:45,430] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30035 | Distance:  130.62 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:17:45,520] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30027 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:45,581] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30032 | Distance:  157.87 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:45,601] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30015 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:45,625] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:45,686] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:45,712] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:45,760] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30032 | Distance:  157.87 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:45,799] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30015 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:53,067] [INFO] Phase: PRE-PREPARE | Receiver: 30000 | Sender: 30035 | Distance:  130.62 m | Delay: 0.6992s | Size: 16781072 bit
[2025-03-20 12:17:53,071] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30000 | Distance:  130.62 m | Delay: 0.6992s | Size: 16778160 bit
[2025-03-20 12:17:53,403] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30009 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:53,407] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30000 | Distance:  133.33 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:17:53,453] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30006 | Distance:  174.27 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:53,747] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30006 | Distance:  174.27 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:17:53,877] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30027 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:54,049] [INFO] Phase: PREPARE | Receiver: 30000 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:17:54,240] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30035 | Distance:  130.62 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:54,250] [INFO] Phase: PRE-REPLY | Receiver: 30014 | Sender: 30000 | Distance:  130.62 m | Delay: 0.6991s | Size: 16778152 bit
[2025-03-20 12:17:54,311] [INFO] Phase: COMMIT | Receiver: 30000 | Sender: 30009 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
