[2025-03-20 12:41:00,990] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30094 | Distance:   94.56 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:01,051] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30048 | Distance:   58.12 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:41:01,076] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30107 | Distance:  143.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:41:01,088] [INFO] Phase: PRE-REPLY | Receiver: 30029 | Sender: 30076 | Distance:  143.57 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:41:01,136] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30100 | Distance:  161.85 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:41:01,162] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30050 | Distance:  114.85 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:41:01,481] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30078 | Distance:   78.14 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:03,592] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30034 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:03,775] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30114 | Distance:   88.51 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:04,473] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30032 | Distance:   76.90 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:04,506] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30022 | Distance:   94.02 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:41:04,607] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30108 | Distance:   29.10 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:41:04,673] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30098 | Distance:  111.29 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:41:04,714] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30020 | Distance:   96.56 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:04,787] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30103 | Distance:   31.62 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:41:04,815] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30034 | Distance:   55.48 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:41:04,922] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30051 | Distance:   56.87 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:04,949] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30024 | Distance:  123.14 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:41:05,010] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30100 | Distance:  161.85 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:41:05,040] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30030 | Distance:   66.08 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:05,064] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30004 | Distance:   54.24 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:05,100] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30105 | Distance:  104.82 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:41:05,131] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30003 | Distance:   89.31 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:41:05,157] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30115 | Distance:  127.47 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:41:05,184] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30035 | Distance:   98.77 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:05,214] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30048 | Distance:   58.12 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:41:05,230] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30086 | Distance:  153.09 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:41:05,255] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30010 | Distance:  128.51 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:41:05,299] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30050 | Distance:  114.85 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:41:06,851] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30114 | Distance:   88.51 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:08,358] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30035 | Distance:   98.77 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:08,442] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30117 | Distance:  148.95 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:41:09,271] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30004 | Distance:   54.24 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:09,418] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30010 | Distance:  128.51 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:41:09,710] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30032 | Distance:   76.90 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:41:09,877] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30078 | Distance:   78.14 m | Delay: 0.4661s | Size: 16778992 bit
