[2025-03-20 12:41:57,961] [INFO] [Node_116] Starting node at localhost:30115 | index=116 | f=1, k=4
[2025-03-20 12:42:49,086] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30035, delay:0.4661s, distance:0081.99m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:49,419] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30089, delay:0.6991s, distance:0117.12m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:49,457] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30024, delay:0.3107s, distance:0029.07m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:50,492] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30024, delay:0.3107s, distance:0029.07m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:50,698] [INFO] [Node_116] Cleaned up 1 finished statuses
[2025-03-20 12:42:51,661] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30026, delay:0.6991s, distance:0118.10m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:51,680] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30046, delay:0.6991s, distance:0126.50m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:51,690] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30059, delay:0.4661s, distance:0063.36m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:51,700] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30072, delay:0.9322s, distance:0152.53m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:51,963] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30052, delay:0.3107s, distance:0043.82m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:52,572] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30049, delay:0.6991s, distance:0142.96m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:52,617] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30116, delay:0.4661s, distance:0092.04m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:53,255] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30073, delay:0.6991s, distance:0120.25m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:53,290] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30074, delay:0.3107s, distance:0039.33m (Euclidean), mes_siz_bit:16778840
[2025-03-20 12:42:53,364] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30072, delay:0.9322s, distance:0152.53m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:53,447] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30035, delay:0.4661s, distance:0081.99m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:53,505] [INFO] [Node_116] Cleaned up 1 finished statuses
[2025-03-20 12:42:54,282] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30055, delay:0.6991s, distance:0145.88m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:54,342] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30102, delay:0.9322s, distance:0157.88m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:54,545] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30055, delay:0.6991s, distance:0145.88m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:54,606] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30049, delay:0.6991s, distance:0142.96m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:54,715] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30034, delay:0.6991s, distance:0127.47m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:54,762] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30102, delay:0.9322s, distance:0157.88m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:54,825] [INFO] [Node_116] Cleaned up 1 finished statuses
[2025-03-20 12:42:55,141] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30073, delay:0.6991s, distance:0120.25m (Euclidean), mes_siz_bit:16778840
[2025-03-20 12:42:55,305] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30095, delay:0.4661s, distance:0058.54m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:55,484] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30065, delay:0.9322s, distance:0163.28m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:55,733] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30078, delay:0.4661s, distance:0091.71m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:55,750] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30094, delay:0.4661s, distance:0067.66m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:55,778] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30116, delay:0.4661s, distance:0092.04m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:55,861] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30071, delay:0.4661s, distance:0081.68m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:56,187] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30029, delay:0.3107s, distance:0037.25m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:56,313] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30098, delay:0.6991s, distance:0125.86m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:56,845] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30094, delay:0.4661s, distance:0067.66m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:56,997] [INFO] [Node_116] Cleaned up 1 finished statuses
[2025-03-20 12:42:57,026] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30065, delay:0.9322s, distance:0163.28m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:58,152] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30095, delay:0.4661s, distance:0058.54m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:58,426] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30078, delay:0.4661s, distance:0091.71m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:58,499] [INFO] [Node_116] Cleaned up 1 finished statuses
[2025-03-20 12:42:58,781] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30099, delay:0.6991s, distance:0106.38m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:59,318] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30062, delay:0.4661s, distance:0093.26m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:59,924] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30056, delay:0.9322s, distance:0151.89m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:43:00,476] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30012, delay:0.6991s, distance:0124.28m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:43:00,750] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30053, delay:0.9322s, distance:0166.56m (Euclidean), mes_siz_bit:16778856
